"","uid","cover"
"566","LM.5.C.80.2016",91
"567","LM.5.C.83.2017",166
"568","LM.6.A.13.2015",161
"569","LM.6.A.3.2016",140
"570","LM.6.A.47.2017",152
"571","LM.6.A.48.2017",118
"572","LM.6.A.79.2016",154
"573","LM.6.A.84.2015",149
"574","LM.6.A.85.2015",160
"575","LM.6.A.86.2017",112
"576","LM.6.A.96.2016",109
"577","LM.6.B.13.2016",179
"578","LM.6.B.3.2017",166
"579","LM.6.B.47.2015",143
"580","LM.6.B.48.2015",161
"581","LM.6.B.79.2017",144
"582","LM.6.B.84.2016",157
"583","LM.6.B.85.2016",161
"584","LM.6.B.86.2015",169
"585","LM.6.B.96.2017",139
"586","LM.6.C.13.2017",164
"587","LM.6.C.3.2015",174
"588","LM.6.C.47.2016",139
"589","LM.6.C.48.2016",143
"590","LM.6.C.79.2015",159
"591","LM.6.C.84.2017",124
"592","LM.6.C.85.2017",133
"593","LM.6.C.86.2016",108
"594","LM.6.C.96.2015",145
"595","LM.7.A.17.2017",190
"596","LM.7.A.24.2016",130
"597","LM.7.A.24.2017",120
"598","LM.7.A.33.2017",136
"599","LM.7.A.50.2015",93
"600","LM.7.A.59.2015",123
"601","LM.7.A.63.2016",150
"602","LM.7.A.98.2015",181
"603","LM.7.A.99.2016",150
"604","LM.7.B.17.2015",145
"605","LM.7.B.24.2015",81
"606","LM.7.B.33.2015",158
"607","LM.7.B.50.2016",149
"608","LM.7.B.50.2017",122
"609","LM.7.B.59.2016",159
"610","LM.7.B.59.2017",148
"611","LM.7.B.98.2016",188
"612","LM.7.B.98.2017",160
"613","LM.7.C.17.2016",159
"614","LM.7.C.24.2015",131
"615","LM.7.C.24.2016",125
"616","LM.7.C.24.2017",149
"617","LM.7.C.33.2016",116
"618","LM.7.C.63.2015",106
"619","LM.7.C.63.2017",102
"620","LM.7.C.99.2015",141
"621","LM.7.C.99.2017",153
"622","LM.8.A.12.2016",97
"623","LM.8.A.16.2015",127
"624","LM.8.A.31.2016",167
"625","LM.8.A.42.2015",127
"626","LM.8.A.45.2017",189
"627","LM.8.A.47.2016",85
"628","LM.8.A.66.2017",149
"629","LM.8.A.73.2015",170
"630","LM.8.A.91.2017",126
"631","LM.8.B.12.2017",146
"632","LM.8.B.16.2016",111
"633","LM.8.B.31.2017",119
"634","LM.8.B.42.2016",119
"635","LM.8.B.45.2015",171
"636","LM.8.B.47.2017",131
"637","LM.8.B.53.2016",130
"638","LM.8.B.66.2015",123
"639","LM.8.B.91.2015",143
"640","LM.8.C.12.2015",111
"641","LM.8.C.16.2017",130
"642","LM.8.C.31.2015",152
"643","LM.8.C.42.2017",141
"644","LM.8.C.45.2016",115
"645","LM.8.C.47.2015",125
"646","LM.8.C.53.2017",142
"647","LM.8.C.66.2016",146
"648","LM.8.C.91.2016",190
"649","VP.1.A.20.2017",124
"650","VP.1.A.29.2016",131
"651","VP.1.A.35.2017",106
"652","VP.1.A.51.2015",118
"653","VP.1.A.54.2015",160
"654","VP.1.A.61.2015",138
"655","VP.1.A.71.2016",117
"656","VP.1.A.80.2016",106
"657","VP.1.A.85.2017",86
"658","VP.1.B.11.2017",122
"659","VP.1.B.20.2015",112
"660","VP.1.B.35.2015",127
"661","VP.1.B.44.2017",135
"662","VP.1.B.51.2016",156
"663","VP.1.B.54.2016",138
"664","VP.1.B.61.2016",133
"665","VP.1.B.85.2015",128
"666","VP.1.B.91.2017",142
"667","VP.1.C.11.2015",122
"668","VP.1.C.20.2016",164
"669","VP.1.C.35.2016",76
"670","VP.1.C.44.2015",135
"671","VP.1.C.51.2017",173
"672","VP.1.C.54.2017",164
"673","VP.1.C.61.2017",102
"674","VP.1.C.85.2016",134
"675","VP.1.C.91.2015",100
"676","VP.2.A.11.2016",109
"677","VP.2.A.24.2015",80
"678","VP.2.A.44.2016",126
"679","VP.2.A.53.2017",114
"680","VP.2.A.59.2017",133
"681","VP.2.A.6.2017",94
"682","VP.2.A.67.2015",92
"683","VP.2.A.9.2015",110
"684","VP.2.A.91.2016",96
"685","VP.2.B.15.2016",132
"686","VP.2.B.29.2017",94
"687","VP.2.B.35.2016",143
"688","VP.2.B.53.2015",131
"689","VP.2.B.59.2015",117
"690","VP.2.B.6.2015",141
"691","VP.2.B.71.2017",88
"692","VP.2.B.8.2016",136
"693","VP.2.B.80.2017",141
"694","VP.2.C.15.2017",149
"695","VP.2.C.29.2015",107
"696","VP.2.C.35.2017",136
"697","VP.2.C.53.2016",104
"698","VP.2.C.59.2016",153
"699","VP.2.C.6.2016",134
"700","VP.2.C.71.2015",126
"701","VP.2.C.8.2017",86
"702","VP.2.C.80.2015",136
"703","VP.3.A.3.2017",94
"704","VP.3.A.31.2015",77
"705","VP.3.A.47.2015",94
"706","VP.3.A.52.2016",139
"707","VP.3.A.7.2016",176
"708","VP.3.A.73.2017",119
"709","VP.3.A.74.2015",60
"710","VP.3.A.82.2016",160
"711","VP.3.A.88.2017",112
"712","VP.3.B.3.2015",168
