"uid","cover"
"LM.1.A.85.2017",137
"LM.1.A.91.2016",112
"LM.1.B.11.2017",146
"LM.1.B.20.2015",145
"LM.1.B.35.2015",126
"LM.1.B.44.2017",111
"LM.1.B.51.2016",148
"LM.1.B.54.2016",121
"LM.1.B.61.2016",119
"LM.1.B.85.2015",141
"LM.1.B.91.2017",189
"LM.1.C.11.2015",137
"LM.1.C.20.2016",103
"LM.1.C.35.2016",125
"LM.1.C.44.2015",114
"LM.1.C.51.2017",175
"LM.1.C.54.2017",141
"LM.1.C.61.2017",121
"LM.1.C.86.2016",185
"LM.1.C.91.2015",151
"LM.2.A.15.2015",169
"LM.2.A.29.2016",123
"LM.2.A.35.2015",149
"LM.2.A.53.2017",144
"LM.2.A.59.2017",140
"LM.2.A.6.2017",174
"LM.2.A.71.2016",151
"LM.2.A.8.2015",148
"LM.2.A.80.2016",144
"LM.2.B.15.2016",141
"LM.2.B.29.2017",197
"LM.2.B.35.2016",162
"LM.2.B.56.2015",175
"LM.2.B.59.2015",151
"LM.2.B.6.2015",174
"LM.2.B.71.2017",161
"LM.2.B.8.2016",117
"LM.2.B.80.2017",141
"LM.2.C.15.2017",132
"LM.2.C.29.2015",162
"LM.2.C.32.2016",141
"LM.2.C.35.2017",184
"LM.2.C.59.2016",154
"LM.2.C.6.2016",129
"LM.2.C.71.2015",141
"LM.2.C.8.2017",140
"LM.2.C.80.2015",158
"LM.3.A.3.2017",206
"LM.3.A.31.2015",157
"LM.3.A.47.2015",146
"LM.3.A.52.2016",148
"LM.3.A.7.2016",143
"LM.3.A.73.2017",150
"LM.3.A.74.2015",150
"LM.3.A.82.2016",125
"LM.3.A.88.2017",123
"LM.3.B.3.2015",149
"LM.3.B.31.2016",117
"LM.3.B.47.2016",127
"LM.3.B.52.2017",142
"LM.3.B.7.2017",154
"LM.3.B.73.2015",141
"LM.3.B.74.2016",128
"LM.3.B.82.2017",140
"LM.3.B.88.2015",168
"LM.3.C.3.2016",156
"LM.3.C.31.2017",175
"LM.3.C.47.2017",157
"LM.3.C.52.2015",146
"LM.3.C.7.2015",107
"LM.3.C.73.2016",129
"LM.3.C.74.2017",133
"LM.3.C.82.2015",143
"LM.3.C.88.2016",197
"LM.4.A.19.2015",144
"LM.4.A.19.2017",136
"LM.4.A.2.2015",194
"LM.4.A.2.2017",162
"LM.4.A.38.2015",200
"LM.4.A.38.2017",131
"LM.4.A.58.2016",126
"LM.4.A.65.2016",136
"LM.4.A.73.2016",117
"LM.4.B.19.2015",141
"LM.4.B.2.2015",143
"LM.4.B.24.2016",168
"LM.4.B.38.2015",118
"LM.4.B.58.2017",146
"LM.4.B.65.2017",186
"LM.4.B.67.2016",146
"LM.4.B.73.2017",131
"LM.4.B.9.2016",166
"LM.4.C.19.2016",97
"LM.4.C.2.2016",113
"LM.4.C.24.2017",136
"LM.4.C.38.2016",164
"LM.4.C.58.2015",154
"LM.4.C.65.2015",117
"LM.4.C.67.2017",209
"LM.4.C.73.2015",155
"LM.4.C.9.2017",142
"LM.5.A.10.2015",166
"LM.5.A.10.2017",121
"LM.5.A.14.2016",202
"LM.5.A.28.2016",137
"LM.5.A.29.2017",180
"LM.5.A.41.2016",133
"LM.5.A.78.2015",182
"LM.5.A.80.2017",143
"LM.5.A.83.2015",187
"LM.5.B.10.2015",155
"LM.5.B.10.2016",93
"LM.5.B.14.2017",129
"LM.5.B.28.2017",128
"LM.5.B.29.2015",127
"LM.5.B.41.2017",127
"LM.5.B.78.2016",123
"LM.5.B.80.2015",198
"LM.5.B.83.2016",144
"LM.5.C.10.2016",90
"LM.5.C.10.2017",177
"LM.5.C.14.2015",123
"LM.5.C.28.2015",120
"LM.5.C.29.2016",139
"LM.5.C.41.2015",118
"LM.5.C.78.2017",93
"LM.5.C.80.2016",91
"LM.5.C.83.2017",166
"LM.6.A.13.2015",161
"LM.6.A.3.2016",140
"LM.6.A.47.2017",152
"LM.6.A.48.2017",118
"LM.6.A.79.2016",154
"LM.6.A.84.2015",149
"LM.6.A.85.2015",160
"LM.6.A.86.2017",112
"LM.6.A.96.2016",109
"LM.6.B.13.2016",179
"LM.6.B.3.2017",166
"LM.6.B.47.2015",143
"LM.6.B.48.2015",161
"LM.6.B.79.2017",144
"LM.6.B.84.2016",157
"LM.6.B.85.2016",161
"LM.6.B.86.2015",169
"LM.6.B.96.2017",139
"LM.6.C.13.2017",164
"LM.6.C.3.2015",174
"LM.6.C.47.2016",139
"LM.6.C.48.2016",143
"LM.6.C.79.2015",159
"LM.6.C.84.2017",124
"LM.6.C.85.2017",133
"LM.6.C.86.2016",108
"LM.6.C.96.2015",145
"LM.7.A.17.2017",190
"LM.7.A.24.2016",130
"LM.7.A.24.2017",120
"LM.7.A.33.2017",136
"LM.7.A.50.2015",93
"LM.7.A.59.2015",123
"LM.7.A.63.2016",150
"LM.7.A.98.2015",181
"LM.7.A.99.2016",150
"LM.7.B.17.2015",145
"LM.7.B.24.2015",81
"LM.7.B.33.2015",158
"LM.7.B.50.2016",149
"LM.7.B.50.2017",122
"LM.7.B.59.2016",159
"LM.7.B.59.2017",148
"LM.7.B.98.2016",188
"LM.7.B.98.2017",160
