"uid","grass","herb","horsetail","moss","rush","sedge","woodrush","cover_tot"
"HM.8.B.91.2015",30,59,0,0,35,4,0,128
"HM.8.C.12.2015",45,60,0,2,16,4,0,127
"HM.8.C.16.2017",48,88,0,0,12,14,1,163
"HM.8.C.31.2015",50,57,0,1,28,6,0,142
"HM.8.C.42.2017",19,59,0,0,22,1,0,101
"HM.8.C.45.2016",81,74,0,0,21,14,0,190
"HM.8.C.47.2015",47,50,0,2,28,4,0,131
"HM.8.C.53.2017",62,87,0,0,28,14,0,191
"HM.8.C.66.2016",82,59,0,0,20,8,0,169
"HM.8.C.91.2016",75,64,0,0,17,14,1,171
"HP.1.A.11.2016",34,15,0,16,49,12,5,131
"HP.1.A.20.2017",72,12,0,0,23,27,0,134
"HP.1.A.35.2017",49,7,0,0,10,22,1,89
"HP.1.A.44.2016",33,6,0,0,15,2,1,57
"HP.1.A.51.2015",46,12,0,8,3,11,0,80
"HP.1.A.54.2015",41,13,0,13,0,11,1,79
"HP.1.A.61.2015",40,17,0,6,3,16,1,83
"HP.1.A.85.2017",34,5,0,0,8,15,4,66
"HP.1.A.91.2016",43,12,0,5,7,10,1,78
"HP.1.B.11.2017",25,17,0,0,45,6,0,93
"HP.1.B.20.2015",47,12,0,0,20,16,2,97
"HP.1.B.35.2015",33,13,0,0,12,0,0,58
"HP.1.B.44.2017",59,15,0,0,16,11,0,101
"HP.1.B.51.2016",56,25,0,0,12,11,0,104
"HP.1.B.54.2016",29,30,0,0,34,8,0,101
"HP.1.B.61.2016",54,29,0,0,12,8,0,103
"HP.1.B.85.2015",47,16,0,0,16,14,0,93
"HP.1.B.91.2017",42,28,0,0,7,18,0,95
"HP.1.C.11.2015",46,27,0,18,23,14,0,128
"HP.1.C.20.2016",53,53,0,0,35,14,0,155
"HP.1.C.35.2016",33,25,0,0,35,8,0,101
"HP.1.C.44.2015",48,22,0,13,23,8,0,114
"HP.1.C.51.2017",49,37,0,0,30,11,0,127
"HP.1.C.54.2017",39,39,0,0,43,14,0,135
"HP.1.C.61.2017",67,28,0,0,38,8,2,143
"HP.1.C.85.2016",37,33,0,0,35,0,0,105
"HP.1.C.91.2015",18,22,0,0,28,14,0,82
"HP.2.A.15.2015",50,10,0,3,44,8,0,115
"HP.2.A.29.2016",30,3,0,0,30,16,0,79
"HP.2.A.35.2015",31,8,0,18,16,1,0,74
"HP.2.A.53.2017",44,3,0,0,23,22,4,96
"HP.2.A.59.2017",49,7,0,0,23,14,0,93
"HP.2.A.6.2017",35,6,0,0,21,20,1,83
"HP.2.A.71.2016",43,10,0,0,36,8,0,97
"HP.2.A.8.2015",32,10,0,5,48,5,0,100
"HP.2.A.80.2016",48,13,0,0,35,5,1,102
"HP.2.B.15.2016",64,7,0,0,39,6,1,117
"HP.2.B.29.2017",44,10,0,0,7,14,0,75
"HP.2.B.35.2016",31,17,1,0,14,15,0,78
"HP.2.B.53.2015",56,12,0,0,24,27,0,119
"HP.2.B.59.2015",40,2,0,0,16,0,0,58
"HP.2.B.6.2015",42,13,0,0,5,0,0,60
"HP.2.B.71.2017",51,6,0,0,7,15,5,84
"HP.2.B.8.2016",43,8,0,0,7,14,1,73
"HP.2.B.80.2017",60,12,0,0,20,8,0,100
"HP.2.C.15.2017",38,33,0,0,30,14,0,115
"HP.2.C.29.2015",50,16,0,0,7,14,0,87
"HP.2.C.33.2016",51,21,0,0,28,14,0,114
"HP.2.C.35.2017",39,30,0,0,38,14,0,121
"HP.2.C.59.2016",51,35,0,0,23,14,0,123
"HP.2.C.6.2016",37,28,0,0,30,11,0,106
"HP.2.C.71.2015",43,31,0,0,38,2,0,114
"HP.2.C.8.2017",54,36,0,0,37,18,0,145
"HP.2.C.80.2015",36,21,0,0,12,0,0,69
"HP.3.A.3.2017",24,6,0,0,18,14,0,62
"HP.3.A.31.2015",31,7,0,13,7,7,0,65
"HP.3.A.47.2015",50,18,0,22,0,17,0,107
"HP.3.A.52.2016",27,13,0,4,47,4,2,97
"HP.3.A.7.2016",35,10,0,13,7,6,1,72
"HP.3.A.73.2017",31,5,0,0,19,18,2,75
"HP.3.A.74.2015",40,9,0,17,27,5,0,98
"HP.3.A.82.2016",47,10,0,2,11,21,1,92
"HP.3.A.88.2017",44,13,0,0,30,6,1,94
"HP.3.B.3.2015",48,9,0,3,23,15,0,98
"HP.3.B.31.2016",44,17,0,0,23,1,0,85
"HP.3.B.47.2016",51,14,0,0,28,14,0,107
"HP.3.B.52.2017",43,12,0,0,7,8,0,70
"HP.3.B.7.2017",33,15,0,0,21,14,1,84
"HP.3.B.73.2015",74,21,0,15,36,0,0,146
"HP.3.B.74.2016",46,21,0,0,30,2,0,99
"HP.3.B.82.2017",44,12,0,0,28,14,1,99
"HP.3.B.88.2015",47,10,0,10,30,2,0,99
"HP.3.C.3.2016",49,30,0,0,28,8,0,115
"HP.3.C.31.2017",27,25,0,0,35,14,0,101
"HP.3.C.47.2017",55,8,0,0,38,14,0,115
